# Países;Fecha;Super 95;Super 95 (Sin imp.);Diesel;Diesel (Sin imp.);Diesel Cal.;Diesel Cal. (Sin imp.)
España;01/06/2009;1,004€;0,458€;0,872€;0,441€;0,528€;0,370€
España;25/05/2009;1,006€;0,460€;0,875€;0,443€;0,525€;0,367€
España;18/05/2009;0,983€;0,440€;0,877€;0,445€;0,530€;0,371€
España;11/05/2009;0,970€;0,429€;0,868€;0,437€;0,513€;0,356€
España;04/05/2009;0,951€;0,412€;0,860€;0,430€;0,516€;0,359€
España;27/04/2009;0,956€;0,417€;0,867€;0,436€;0,520€;0,362€
España;20/04/2009;0,953€;0,414€;0,869€;0,438€;0,527€;0,368€
España;06/04/2009;0,942€;0,405€;0,861€;0,431€;0,515€;0,358€
España;30/03/2009;0,939€;0,402€;0,857€;0,427€;0,503€;0,348€
España;23/03/2009;0,911€;0,378€;0,837€;0,410€;0,486€;0,333€
España;16/03/2009;0,907€;0,374€;0,831€;0,405€;0,482€;0,329€
España;09/03/2009;0,918€;0,384€;0,840€;0,413€;0,486€;0,332€
España;02/03/2009;0,895€;0,364€;0,845€;0,417€;0,494€;0,340€
España;23/02/2009;0,901€;0,369€;0,847€;0,419€;0,508€;0,351€
España;16/02/2009;0,922€;0,387€;0,867€;0,436€;0,529€;0,370€
España;09/02/2009;0,914€;0,380€;0,874€;0,442€;0,535€;0,375€
España;02/02/2009;0,902€;0,370€;0,874€;0,442€;0,536€;0,376€
España;26/01/2009;0,891€;0,360€;0,873€;0,442€;0,542€;0,380€
España;19/01/2009;0,881€;0,352€;0,882€;0,449€;0,556€;0,392€
España;12/01/2009;0,868€;0,341€;0,878€;0,445€;0,547€;0,385€
España;05/01/2009;0,825€;0,304€;0,836€;0,410€;0,519€;0,360€
España;20/12/2010;1,235€;0,606€;1,166€;0,644€;0,773€;0,570€
España;13/12/2010;1,242€;0,612€;1,165€;0,643€;0,753€;0,552€
España;06/12/2010;1,230€;0,602€;1,147€;0,628€;0,740€;0,542€
España;29/11/2010;1,208€;0,583€;1,129€;0,612€;0,727€;0,530€
España;22/11/2010;1,191€;0,568€;1,117€;0,602€;0,720€;0,524€
España;15/11/2010;1,197€;0,573€;1,133€;0,616€;0,717€;0,521€
España;08/11/2010;1,172€;0,552€;1,103€;0,590€;0,705€;0,511€
España;25/10/2010;1,173€;0,554€;1,096€;0,584€;0,706€;0,512€
España;18/10/2010;1,176€;0,556€;1,096€;0,584€;0,709€;0,515€
España;11/10/2010;1,173€;0,553€;1,103€;0,590€;0,707€;0,513€
España;04/10/2010;1,153€;0,536€;1,091€;0,580€;0,702€;0,509€
España;27/09/2010;1,155€;0,538€;1,090€;0,579€;0,702€;0,510€
España;20/09/2010;1,179€;0,559€;1,099€;0,587€;0,707€;0,513€
España;13/09/2010;1,169€;0,550€;1,093€;0,581€;0,696€;0,504€
España;06/09/2010;1,163€;0,545€;1,088€;0,578€;0,691€;0,500€
España;30/08/2010;1,157€;0,539€;1,086€;0,576€;0,688€;0,497€
España;23/08/2010;1,152€;0,536€;1,075€;0,567€;0,695€;0,503€
España;16/08/2010;1,167€;0,548€;1,092€;0,581€;0,708€;0,514€
España;09/08/2010;1,176€;0,556€;1,101€;0,588€;0,706€;0,513€
España;02/08/2010;1,168€;0,549€;1,080€;0,570€;0,699€;0,507€
España;26/07/2010;1,165€;0,547€;1,077€;0,568€;0,696€;0,504€
España;19/07/2010;1,165€;0,547€;1,076€;0,567€;0,702€;0,508€
España;12/07/2010;1,167€;0,548€;1,077€;0,568€;0,706€;0,512€
España;05/07/2010;1,179€;0,563€;1,094€;0,587€;0,724€;0,528€
España;28/06/2010;1,168€;0,570€;1,095€;0,604€;0,722€;0,537€
España;21/06/2010;1,176€;0,577€;1,100€;0,608€;0,713€;0,529€
España;14/06/2010;1,166€;0,569€;1,088€;0,598€;0,697€;0,516€
España;07/06/2010;1,164€;0,567€;1,078€;0,589€;0,688€;0,507€
España;31/05/2010;1,153€;0,557€;1,066€;0,579€;0,688€;0,508€
España;24/05/2010;1,159€;0,563€;1,071€;0,583€;0,696€;0,514€
